procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 516536  58636 2136700    0    0   438   439 10081   29  2 18 80  0  0  0
 1  0      0 515972  58636 2136776    0    0     0     0 14562 1692  0 34 66  0  0  0
 1  0      0 516480  58636 2136776    0    0     0     0 14017 1633  0 34 66  0  0  0
 1  0      0 516608  58636 2136776    0    0     0     0 13013 1572  0 34 66  0  0  0
 0  0      0 515992  58636 2136776    0    0     0     0 14596 1588  0 34 66  0  0  0
 1  0      0 516288  58636 2136776    0    0     0    20 15451 1734  0 34 66  0  0  0
 1  0      0 516064  58644 2136776    0    0     0    76 13972 1673  0 34 66  0  0  0
 2  0      0 516168  58644 2136776    0    0     0     0 13920 1542  0 34 66  0  0  0
 1  0      0 516232  58644 2136776    0    0     0     0 13574 1492  0 34 66  0  0  0
 1  0      0 515416  58644 2136776    0    0     0     0 13757 1577  0 34 66  0  0  0
 2  0      0 515256  58644 2136776    0    0     0     0 14814 1638  0 34 66  0  0  0
 1  0      0 515588  58644 2136776    0    0     0     0 13903 1576  0 34 66  0  0  0
 2  0      0 515616  58652 2136776    0    0     0    12 14333 1565  0 34 66  0  0  0
 1  0      0 515756  58652 2136776    0    0     0     0 14427 1556  0 33 67  0  0  0
 1  0      0 515000  58652 2136776    0    0     0     0 13880 1509  0 34 66  0  0  0
 1  0      0 515056  58652 2136776    0    0     0     0 13642 1588  0 34 66  0  0  0
 0  0      0 515000  58652 2136776    0    0     0     0 13956 1571  0 34 66  0  0  0
 0  0      0 515876  58652 2136776    0    0     0     0 13280 1628  0 34 66  0  0  0
 1  0      0 515388  58660 2136776    0    0     0    12 15002 1525  0 33 66  0  0  0
 1  0      0 514688  58660 2136776    0    0     0     0 13705 1537  0 34 66  0  0  0
 0  0      0 514796  58660 2136776    0    0     0     0 14314 1598  0 34 66  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 514992  58660 2136776    0    0     0     0 14789 1653  0 34 66  0  0  0
 1  0      0 514888  58660 2136776    0    0     0     0 13625 1504  0 34 66  0  0  0
 1  0      0 515468  58660 2136776    0    0     0     0 13708 1649  0 34 66  0  0  0
 1  0      0 515448  58668 2136776    0    0     0    36 13438 1582  0 34 66  0  0  0
 0  0      0 514548  58692 2136776    0    0     0   164 13299 1621  0 34 65  1  0  0
 2  0      0 514932  58692 2136776    0    0     0     0 13018 1584  0 34 65  0  0  0
 1  0      0 514580  58692 2136776    0    0     0     0 13125 1549  0 34 66  0  0  0
 0  0      0 515080  58692 2136776    0    0     0     0 15174 1566  0 34 66  0  0  0
 1  0      0 515564  58692 2136776    0    0     0     0 14635 1702  0 35 65  0  0  0
