procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1299572  42724 1367548    0    0 125302 70581 9789   24 11 12 76  1  0  0
 2  0      0 1299848  42724 1367604    0    0     0     0   99   62  0  0 100  0  0  0
 2  0      0 1300736  42724 1367660    0    0     0     0   26   33  0  0 100  0  0  0
 0  0      0 1300736  42724 1367660    0    0     0     0   59   30  0  0 100  0  0  0
 2  0      0 1300736  42724 1367660    0    0     0     0   70   42  0  0 100  0  0  0
 2  0      0 1300992  42724 1367660    0    0     0     0   47   39  0  0 100  0  0  0
 0  0      0 1301024  42732 1367660    0    0     0    64  194   46  0  0 100  0  0  0
 1  0      0 1301024  42732 1367660    0    0     0     0   92   38  0  0 100  0  0  0
 2  0      0 1301024  42732 1367660    0    0     0     0   75   51  0  0 100  0  0  0
 3  0      0 1301024  42732 1367660    0    0     0     0   32   33  0  0 100  0  0  0
 0  0      0 1301024  42732 1367660    0    0     0    20   29   33  0  0 100  0  0  0
 0  0      0 1301024  42740 1367660    0    0     0   220  124   77  0  0 100  0  0  0
 0  0      0 1301024  42740 1367660    0    0     0     0   45   22  0  0 100  0  0  0
 1  0      0 1301024  42740 1367660    0    0     0     0   31   29  0  0 100  0  0  0
 4  0      0 1298824  42740 1367660    0    0     0     0   70   52  0  0 100  0  0  0
 0  0      0 1300256  42740 1367664    0    0     0     0  126   93  0  0 100  0  0  0
 2  0      0 1300352  42740 1367664    0    0     0     0   51   33  0  0 100  0  0  0
 0  0      0 1300352  42748 1367664    0    0     0    24   48   53  0  0 100  0  0  0
 1  0      0 1300352  42748 1367664    0    0     0     0   56   23  0  0 100  0  0  0
 0  0      0 1300352  42748 1367664    0    0     0     0   86   45  0  1 99  0  0  0
 0  0      0 1300352  42748 1367664    0    0     0     0   57   35  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1300352  42748 1367664    0    0     0     0   64   30  0  0 100  0  0  0
 0  0      0 1300352  42748 1367664    0    0     0     0   36   25  0  0 100  0  0  0
 0  0      0 1300352  42756 1367656    0    0     0    12   85   53  0  0 100  0  0  0
 0  0      0 1300352  42756 1367664    0    0     0     0   49   33  0  0 100  0  0  0
 0  0      0 1300352  42756 1367664    0    0     0     0   33   30  0  0 100  0  0  0
 1  0      0 1300352  42756 1367664    0    0     0     0   42   23  0  0 100  0  0  0
 0  0      0 1300352  42756 1367664    0    0     0     0  108   46  0  0 100  0  0  0
 0  0      0 1300352  42756 1367664    0    0     0     0   47   24  0  0 100  0  0  0
 1  0      0 1300352  42764 1367664    0    0     0    12   70   33  0  0 100  0  0  0
